"Date","Description","Debit","Credit","Balance"
"01 Jul 2025","Transfer","$305.00","","+$235.37"
"01 Jul 2025","Payment to S THIYAGARAJAN","$5.00","","+$230.37"
"01 Jul 2025","Chermside Butcher Chermside AU","$5.90","","+$224.47"
"01 Jul 2025","Westfield Chermside Chermside AU","$5.00","","+$219.47"
"01 Jul 2025","Bentleys Camerahouse Chermside AU","$62.85","","+$156.62"
"01 Jul 2025","Apple.com/bill Sydney AU","$5.99","","+$150.63"
"01 Jul 2025","Woolworths/chermside Mktpchermside AU","$4.90","","+$145.73"
"01 Jul 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$551.73","+$697.46"
"01 Jul 2025","Transfer","$534.00","","+$163.46"
"01 Jul 2025","Payment from SUBIKSHA THIYAGARAJAN","","$12.00","+$175.46"
"01 Jul 2025","Payment from SUBIKSHA THIYAGARAJAN","","$1.00","+$176.46"
"02 Jul 2025","Coles 4547 Chermside AU","$1.42","","+$175.04"
"03 Jul 2025","Spotify P382dcbc3c Sydney AU","$6.99","","+$168.05"
"03 Jul 2025","Optus Prepaid Melbourne AU","$13.00","","+$155.05"
"03 Jul 2025","Coles 4547 Chermside AU","$3.60","","+$151.45"
"03 Jul 2025","Tickets*snow Party Belrose AU","$26.20","","+$125.25"
"04 Jul 2025","Everyday Insurance Chatswood AU","$58.18","","+$67.07"
"04 Jul 2025","Sp Billy J Boutique Kunda Park AU","$4.98","","+$62.09"
"04 Jul 2025","Westfield Chermside Chermside AU","$5.00","","+$57.09"
"04 Jul 2025","Scentre Shopping Centr Chermside AU","$12.00","","+$45.09"
"04 Jul 2025","Zlr*shah Kebabs \Fortitude Val AU","$15.23","","+$29.86"
"05 Jul 2025","7-Eleven 4151 Fortitude Va AU","$2.90","","+$26.96"
"05 Jul 2025","Leeya Pty Ltd Zillmere AU","$4.25","","+$22.71"
"05 Jul 2025","Chermside Butcher Chermside AU","$2.50","","+$20.21"
"05 Jul 2025","Transfer","","$100.00","+$120.21"
"05 Jul 2025","Liquorland 6531 Taigum AU","$43.70","","+$76.51"
"05 Jul 2025","Transfer","$75.30","","+$1.21"
"05 Jul 2025","Transfer","","$20.00","+$21.21"
"05 Jul 2025","Collins Foods Subsid North Lakes AU","$8.95","","+$12.26"
"05 Jul 2025","Collins Foods Subsid North Lakes AU","$9.95","","+$2.31"
"07 Jul 2025","Transfer","","$10.00","+$12.31"
"08 Jul 2025","Rubric* Qut-Uni Ticket Burwood AU","$5.88","","+$6.43"
"08 Jul 2025","Coles 4547 Chermside AU","$1.23","","+$5.20"
"08 Jul 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$486.88","+$492.08"
"09 Jul 2025","Coles 4547 Chermside AU","$2.37","","+$489.71"
"09 Jul 2025","Coles 4432 Taigum AU","$12.35","","+$477.36"
"09 Jul 2025","Transfer","$300.00","","+$177.36"
"09 Jul 2025","7-Eleven 4319 Kedron AU","$20.00","","+$157.36"
"09 Jul 2025","The Trustee For Lehal Zillmere AU","$2.99","","+$154.37"
"09 Jul 2025","McDonald's Bracken Rg Bracken Ridgeqldau","$4.00","","+$150.37"
"10 Jul 2025","Optus Prepaid Melbourne AU","$13.00","","+$137.37"
"10 Jul 2025","Hanaro Trading Pty Ltd Chermside AU","$1.80","","+$135.57"
"10 Jul 2025","Auyi Yum Pty Ltd Chermside Qldau","$18.05","","+$117.52"
"11 Jul 2025","Hipcamp Booking Moruya AU","$43.52","","+$74.00"
"11 Jul 2025","Aldi Stores Taigum Qldau","$8.99","","+$65.01"
"12 Jul 2025","Apple.com/bill Sydney AU","$4.49","","+$60.52"
"12 Jul 2025","Coles 4432 Taigum AU","$5.22","","+$55.30"
"13 Jul 2025","Coles 4547 Chermside AU","$1.42","","+$53.88"
"13 Jul 2025","Breadtop Chermside Chermside AU","$5.15","","+$48.73"
"13 Jul 2025","Chermside Butcher\chermside QLD AU","$2.50","","+$46.23"
"13 Jul 2025","Chermside Butcher\chermside QLD AU","$3.50","","+$42.73"
"13 Jul 2025","7-Eleven 4221 Taigum AU","$30.00","","+$12.73"
"14 Jul 2025","Coles 4547 Chermside AU","$2.66","","+$10.07"
"14 Jul 2025","Coles 4547 Chermside AU","$4.27","","+$5.80"
"14 Jul 2025","Coles 4547 Chermside AU","$3.23","","+$2.57"
"14 Jul 2025","Transfer","","$20.00","+$22.57"
"14 Jul 2025","IKEA Northlakes North Lakes AU","$2.00","","+$20.57"
"15 Jul 2025","Transfer","","$150.00","+$170.57"
"15 Jul 2025","7-Eleven Virginia 42 Virginia AU","$35.77","","+$134.80"
"15 Jul 2025","Zlr*caribou Sales Pty L\woolloongabba AU","$15.21","","+$119.59"
"15 Jul 2025","Payment to S THIYAGARAJAN","$11.00","","+$108.59"
"15 Jul 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$815.78","+$924.37"
"16 Jul 2025","Qut Parking Kelvin Grove AU","$13.00","","+$911.37"
