"Date","Description","Debit","Credit","Balance"
"01 Aug 2025","Coles 4547 Chermside AU","$0.81","","+$27.77"
"01 Aug 2025","Front Tea R Pty Ltd Brisbane Cityau","$6.60","","+$21.17"
"01 Aug 2025","Transfer","","$10.00","+$31.17"
"02 Aug 2025","McDonald's Chermside Chermside AU","$5.55","","+$25.62"
"02 Aug 2025","Westfield Chermside Chermside AU","$12.00","","+$13.62"
"02 Aug 2025","Transfer","","$150.00","+$163.62"
"03 Aug 2025","Coles 4547 Chermside AU","$0.81","","+$162.81"
"03 Aug 2025","Transfer","","$200.00","+$362.81"
"04 Aug 2025","Lonshi Pty Ltd Kelvin Grove AU","$6.94","","+$355.87"
"04 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$350.87"
"04 Aug 2025","Adobe Sydney AU","$14.29","","+$336.58"
"04 Aug 2025","7-Eleven 4221 Taigum AU","$84.79","","+$251.79"
"04 Aug 2025","Seoul Bites Kelvin Grove AU","$18.90","","+$232.89"
"04 Aug 2025","Spotify P392d5b2ca Sydney AU","$13.99","","+$218.90"
"05 Aug 2025","Qut Parking Kelvin Grove AU","$13.00","","+$205.90"
"05 Aug 2025","Coles 4547 Chermside AU","$2.37","","+$203.53"
"05 Aug 2025","Breadtop Chermside Chermside AU","$7.58","","+$195.95"
"05 Aug 2025","Sushi Hub Chermside Chermside AU","$6.21","","+$189.74"
"05 Aug 2025","Everyday Insurance Chatswood AU","$58.18","","+$131.56"
"05 Aug 2025","Donana Mini Hotpot Kelvin Grove AU","$46.69","","+$84.87"
"05 Aug 2025","Qut Parking Kelvin Grove AU","$10.00","","+$74.87"
"05 Aug 2025","Coles 4547 Chermside AU","$6.65","","+$68.22"
"05 Aug 2025","Coles 4547 Chermside AU","$6.17","","+$62.05"
"05 Aug 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$706.01","+$768.06"
"06 Aug 2025","Payment to S THIYAGARAJAN","$20.00","","+$748.06"
"06 Aug 2025","Sushi Hub Chermside Chermside AU","$6.66","","+$741.40"
"06 Aug 2025","Coles 4547 Chermside AU","$14.34","","+$727.06"
"06 Aug 2025","Coles 4547 Chermside AU","$6.17","","+$720.89"
"06 Aug 2025","Coles 4547 Chermside AU","$5.22","","+$715.67"
"06 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$710.67"
"06 Aug 2025","Coles 4547 Chermside AU","$1.42","","+$709.25"
"06 Aug 2025","Transfer","$300.00","","+$409.25"
"07 Aug 2025","Sushi Hub Chermside Chermside AU","$6.66","","+$402.59"
"07 Aug 2025","Optus Prepaid Melbourne AU","$13.00","","+$389.59"
"07 Aug 2025","Coles 4547 Chermside AU","$25.02","","+$364.57"
"07 Aug 2025","Transfer","","$800.00","+$1,164.57"
"08 Aug 2025","7-Eleven 4034 Zillmere AU","$6.50","","+$1,158.07"
"08 Aug 2025","Amazon Marketplace AU Sydney South AU","$50.93","","+$1,107.14"
"08 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$1,102.14"
"08 Aug 2025","Qut Bookshop Brisbane AU","$9.95","","+$1,092.19"
"09 Aug 2025","Chermside Butcher Chermside AU","$6.90","","+$1,085.29"
"09 Aug 2025","QLD Uni Tech Guild Brisbane Adelau","$10.40","","+$1,074.89"
"09 Aug 2025","QLD Uni Tech Guild Brisbane Adelau","$7.60","","+$1,067.29"
"09 Aug 2025","Collins Restaurants Milton AU","$680.00","","+$387.29"
"09 Aug 2025","Subway Aspley Aspley AU","$17.45","","+$369.84"
"09 Aug 2025","Westfield Chermside Chermside AU","$5.00","","+$364.84"
"09 Aug 2025","David Master Pot Cbd Brisbane AU","$3.55","","+$361.29"
"09 Aug 2025","QLD Uni Tech Guild Brisbane Adelau","$7.60","","+$353.69"
"09 Aug 2025","QLD Uni Tech Guild Brisbane Adelau","$10.40","","+$343.29"
"09 Aug 2025","David Master Pot Cbd Brisbane AU","$43.51","","+$299.78"
"09 Aug 2025","QLD Uni Tech Guild Brisbane Adelau","$15.20","","+$284.58"
"09 Aug 2025","Subway Qut Brisbane City Brisbane Cityau","$12.70","","+$271.88"
"09 Aug 2025","Qut Parking Kelvin Grove AU","$10.50","","+$261.38"
"09 Aug 2025","Bunnings Warehouse 415000 Virginia AU","$30.48","","+$230.90"
"09 Aug 2025","Qut Parking Kelvin Grove AU","$10.50","","+$220.40"
"09 Aug 2025","QLD Uni Tech Guild Brisbane Adelau","$7.60","","+$212.80"
"09 Aug 2025","McDonald's Central Brisbane Cityau","$0.50","","+$212.30"
