"Date","Description","Debit","Credit","Balance"
"01 Oct 2025","Coles 4547 Chermside AU","$1.42","","+$463.70"
"01 Oct 2025","Transfer","$300.00","","+$163.70"
"01 Oct 2025","Transfer","","$50.00","+$213.70"
"02 Oct 2025","Qut Parking Kelvin Grove AU","$10.50","","+$203.20"
"02 Oct 2025","Woolworths/39 Musk Avenuekelvin Grove AU","$7.50","","+$195.70"
"02 Oct 2025","Optus Prepaid Melbourne AU","$13.00","","+$182.70"
"02 Oct 2025","Sushi Hub Chermside Chermside AU","$9.00","","+$173.70"
"02 Oct 2025","7-Eleven 4221 Taigum AU","$93.42","","+$80.28"
"02 Oct 2025","Adobe Sydney AU","$23.99","","+$56.29"
"02 Oct 2025","Transfer","","$100.00","+$156.29"
"02 Oct 2025","Uber *Trip Help.uber.com\","$11.86","","+$144.43"
"03 Oct 2025","Donana Mini Hotpot Kelvin Grove AU","$30.75","","+$113.68"
"03 Oct 2025","Westfield Chermside Chermside AU","$5.00","","+$108.68"
"03 Oct 2025","Origin Kebabs Brisbane AU","$16.47","","+$92.21"
"03 Oct 2025","Www.missd.com.AU Brisbane Cityau","$6.00","","+$86.21"
"03 Oct 2025","Transfer","","$100.00","+$186.21"
"04 Oct 2025","Transfer","","$500.00","+$686.21"
"04 Oct 2025","Payment to 013-943 612711206 Sandaru","$505.00","","+$181.21"
"04 Oct 2025","QLD Uni Tech Guild Qut Gardens Pau","$5.60","","+$175.61"
"04 Oct 2025","Australian Vending Compantullamarine AU","$5.80","","+$169.81"
"04 Oct 2025","QLD Uni Tech Guild Qut Gardens Pau","$13.60","","+$156.21"
"04 Oct 2025","QLD Uni Tech Guild Qut Gardens Pau","$17.50","","+$138.71"
"04 Oct 2025","Sunlit Asian Superma Kelvin Grove AU","$10.58","","+$128.13"
"04 Oct 2025","QLD Uni Tech Guild Qut Gardens Pau","$17.20","","+$110.93"
"04 Oct 2025","QLD Uni Tech Guild Qut Gardens Pau","$11.20","","+$99.73"
"04 Oct 2025","Transfer","","$50.00","+$149.73"
"05 Oct 2025","Donana Mini Hotpot Kelvin Grove AU","$28.30","","+$121.43"
"05 Oct 2025","7-Eleven 4352 Kelvin Grove AU","$3.50","","+$117.93"
"06 Oct 2025","Australian Vending Compantullamarine AU","$5.50","","+$112.43"
"06 Oct 2025","McDonald's 950034 Aspley AU","$6.49","","+$105.94"
"06 Oct 2025","Coles 4547 Chermside AU","$1.35","","+$104.59"
"07 Oct 2025","Everyday Insurance Chatswood AU","$58.18","","+$46.41"
"07 Oct 2025","Sushi Hub Chermside Chermside AU","$9.00","","+$37.41"
"07 Oct 2025","Sunlit Asian Superma Kelvin Grove AU","$0.25","","+$37.16"
"07 Oct 2025","Sunlit Asian Superma Kelvin Grove AU","$23.72","","+$13.44"
"07 Oct 2025","Coles 4547 Chermside AU","$1.42","","+$12.02"
"08 Oct 2025","Westfield Chermside Chermside AU","$5.00","","+$7.02"
"08 Oct 2025","Transfer","","$100.00","+$107.02"
"08 Oct 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$437.13","+$544.15"
"08 Oct 2025","Transfer","$300.00","","+$244.15"
"09 Oct 2025","Chermside Butcher Chermside AU","$6.90","","+$237.25"
"10 Oct 2025","Narangba Valley Tave Narangba AU","$56.00","","+$181.25"
"11 Oct 2025","Coles 4547 Chermside AU","$14.53","","+$166.72"
"11 Oct 2025","Coles 4547 Chermside AU","$5.45","","+$161.27"
"12 Oct 2025","Apple.com/bill Sydney AU","$4.49","","+$156.78"
"12 Oct 2025","Transfer","","$200.00","+$356.78"
"12 Oct 2025","Payment to 013-943 612711206 Sandaru","$130.00","","+$226.78"
"12 Oct 2025","Payment to 013-943 612711206 Sandaru","$50.00","","+$176.78"
"13 Oct 2025","7-Eleven 4221 Taigum AU","$27.32","","+$149.46"
"13 Oct 2025","Breadtop Chermside Chermside AU","$6.67","","+$142.79"
"14 Oct 2025","Yo Get It QLD Chermside AU","$9.00","","+$133.79"
"14 Oct 2025","Coles 4547 Chermside AU","$0.76","","+$133.03"
"14 Oct 2025","Hanaro Trading Pty Ltd Chermside AU","$2.50","","+$130.53"
"14 Oct 2025","Coles 4547 Chermside AU","$3.70","","+$126.83"
"14 Oct 2025","Westfield Chermside Chermside AU","$5.00","","+$121.83"
"14 Oct 2025","Translink Ticketing QLD AU","$1.00","","+$120.83"
"14 Oct 2025","Qut Parking Kelvin Grove AU","$9.50","","+$111.33"
"14 Oct 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$543.50","+$654.83"
"14 Oct 2025","Payment to 013-943 612711206 Sandaru","$543.00","","+$111.83"
"15 Oct 2025","Translink Ticketing QLD AU","$1.00","","+$110.83"
"15 Oct 2025","Sushi Hub Chermside Chermside AU","$9.27","","+$101.56"
"15 Oct 2025","Westfield Chermside Chermside AU","$12.00","","+$89.56"
"15 Oct 2025","Westfield Chermside Chermside AU","$5.00","","+$84.56"
"15 Oct 2025","Coles 4670 Aspley AU","$7.31","","+$77.25"
"15 Oct 2025","Translink Ticketing QLD AU","$0.50","","+$76.75"
"16 Oct 2025","Transfer","","$500.00","+$576.75"
"16 Oct 2025","ATM Withdrawal Atmx 44 Musk Ave Kelvin Grove 07au","$130.00","","+$446.75"
"16 Oct 2025","ATM Direct Charge","$3.13","","+$443.62"
"16 Oct 2025","Sq *New York Slice Pizzerfortitude Valau","$6.00","","+$437.62"
"16 Oct 2025","Qut Parking Kelvin Grove AU","$8.50","","+$429.12"
"16 Oct 2025","Transfer","$300.00","","+$129.12"
"16 Oct 2025","Uber *Trip Help.uber.com\","$28.75","","+$100.37"
"17 Oct 2025","Transfer","","$58.00","+$158.37"
"17 Oct 2025","Uber *Trip Help.uber.com\","$11.96","","+$146.41"
"17 Oct 2025","7-Eleven 4352 Kelvin Grove AU","$5.50","","+$140.91"
"17 Oct 2025","The Lord Alfred Brisbane AU","$4.05","","+$136.86"
"17 Oct 2025","BP Bowenbridge1410 Herstonqld AU","$20.04","","+$116.82"
"17 Oct 2025","Donana Mini Hotpot Kelvin Grove AU","$3.55","","+$113.27"
"17 Oct 2025","The Lord Alfred Brisbane AU","$5.06","","+$108.21"
"17 Oct 2025","Donana Mini Hotpot Kelvin Grove AU","$4.87","","+$103.34"
"17 Oct 2025","McDonald's Virginia Virginia AU","$7.00","","+$96.34"
"17 Oct 2025","Stake Sydney AU","$14.00","","+$82.34"
"18 Oct 2025","7-Eleven 4113 Brisbane AU","$7.35","","+$74.99"
"18 Oct 2025","Apple.com/bill Sydney AU","$6.99","","+$68.00"
"18 Oct 2025","Coles 4547 Chermside AU","$1.42","","+$66.58"
"18 Oct 2025","Translink Ticketing QLD AU","$0.50","","+$66.08"
"19 Oct 2025","Ozz Turquoise Kebabs Brisbane Cityau","$16.19","","+$49.89"
"20 Oct 2025","Coles 4432 Taigum AU","$3.00","","+$46.89"
"20 Oct 2025","Donana Mini Hotpot Kelvin Grove AU","$21.62","","+$25.27"
"20 Oct 2025","7-Eleven 4319 Kedron AU","$9.50","","+$15.77"
"20 Oct 2025","Transfer","","$100.00","+$115.77"
"21 Oct 2025","Woolworths/beams Rd Taigum AU","$1.30","","+$114.47"
"21 Oct 2025","Sq *Hmb Barbers Taigum Taigum, 4018 AU","$42.00","","+$72.47"
"21 Oct 2025","Woolworths/beams Rd Taigum AU","$3.00","","+$69.47"
"21 Oct 2025","Qut Parking Kelvin Grove AU","$10.50","","+$58.97"
"21 Oct 2025","Sunlit Asian Superma Kelvin Grove AU","$7.18","","+$51.79"
"21 Oct 2025","McDonald's Virginia Virginia AU","$7.00","","+$44.79"
"21 Oct 2025","Direct Credit Coles Supermarke - Col 4547 90049070","","$271.35","+$316.14"
"22 Oct 2025","Openai *Chatgpt Subscr Openai.com Us","$34.16","","+$281.98"
"23 Oct 2025","7-Eleven Virginia 42 Virginia AU","$7.50","","+$274.48"
"23 Oct 2025","Qut Parking Kelvin Grove AU","$8.50","","+$265.98"
"23 Oct 2025","Sunlit Asian Superma Kelvin Grove AU","$4.18","","+$261.80"
"23 Oct 2025","Sunlit Asian Superma Kelvin Grove AU","$1.99","","+$259.81"
"23 Oct 2025","Coles 4432 Taigum AU","$13.22","","+$246.59"
"24 Oct 2025","Woolworths/beams Rd Taigum AU","$8.85","","+$237.74"
"24 Oct 2025","Smp*bargain Mania Kelf0 Kelvin Grove AU","$6.09","","+$231.65"
